Timeframe,Week of, 2019 counts (14 counters), 2020 counts (14 counters),Change 2019-2020
Week 1,30-Dec,63100,47315,-25%
Week 2,06-Jan,31703,25980,-18%
Week 3,13-Jan,18082,19569,8%
Week 4,20-Jan,26280,22907,-13%
Week 5,27-Jan,24447,25713,5%
Week 6,03-Feb,28308,34427,22%
Week 7,10-Feb,21176,32574,54%
Week 8,17-Feb,22085,47713,116%
Week 9,24-Feb,28591,44536,56%
Week 10,02-Mar,31425,63555,102%
Week 11,09-Mar,36968,71976,95%
Week 12,16-Mar,20937,94145,350%
Week 13,23-Mar,43560,69574,60%
Week 14,30-Mar,22880,73814,223%
Week 15,06-Apr,65750,81686,24%
Week 16,13-Apr,44026,81775,86%
Week 17,20-Apr,45732,84412,85%
Week 18,27-Apr,50538,106090,110%
Week 19,04-May,53183,96285,81%
Week 20,11-May,52169,115579,122%
Week 21,18-May,64922,104040,60%
Week 22,25-May,77048,133746,74%
Week 23,01-Jun,81672,121249,48%
Week 24,08-Jun,91417,129916,42%
Week 25,15-Jun,85124,110954,30%
Week 26,22-Jun,88284,123108,39%
Week 27,29-Jun,85466,118482,39%
Week 28,06-Jul,85130,118638,39%
Week 29,13-Jul,76352,121665,59%
Week 30,20-Jul,90580,109271,21%
Week 31,27-Jul,86638,115832,34%
Week 32,03-Aug,76065,114110,50%
Week 33,10-Aug,73885,103901,41%
Week 34,17-Aug,73714,121113,64%
Week 35,24-Aug,73190,116564,59%
Week 36,31-Aug,76248,112050,47%
Week 37,07-Sep,63340,96760,53%
Week 38,14-Sep,64556,94094,46%
Week 39,21-Sep,60301,93923,56%
Week 40,28-Sep,52573,82615,57%
Week 41,05-Oct,45322,78776,74%
Week 42,12-Oct,39078,65208,67%
Week 43,19-Oct,39398,56905,44%
Week 44,26-Oct,37277,42349,14%
Week 45,02-Nov,34454,70493,105%
Week 46,09-Nov,28255,46105,63%
