Year,Timeframe,Week, Counts (31 counters) ,Covid Period, Pedestrians (14 counters) , Bikes (14 counters) ,,,,,,,,,,,,,,,,
2019,Week 1,30/12/2018," 167,679 ",N," 68,957 "," 63,100 ",,,,,,,,,,,,,,,,
2019,Week 2,06/01/2019," 82,340 ",N," 34,778 "," 31,703 ",,,,,,,,,,,,,,,,
2019,Week 3,13/01/2019," 62,315 ",N," 32,065 "," 18,082 ",,,,,,,,,,,,,,,,
2019,Week 4,20/01/2019," 75,801 ",N," 35,016 "," 26,280 ",,,,,,,,,,,,,,,,
2019,Week 5,27/01/2019," 75,841 ",N," 33,627 "," 24,447 ",,,,,,,,,,,,,,,,
2019,Week 6,03/02/2019," 79,780 ",N," 35,217 "," 28,308 ",,,,,,,,,,,,,,,,
2019,Week 7,10/02/2019," 65,732 ",N," 32,171 "," 21,176 ",,,,,,,,,,,,,,,,
2019,Week 8,17/02/2019," 69,492 ",N," 36,288 "," 22,085 ",,,,,,,,,,,,,,,,
2019,Week 9,24/02/2019," 85,688 ",N," 44,410 "," 28,591 ",,,,,,,,,,,,,,,,
2019,Week 10,03/03/2019," 84,512 ",N," 65,887 "," 31,425 ",,,,,,,,,,,,,,,,
2019,Week 11,10/03/2019," 107,995 ",N," 23,076 "," 36,968 ",,,,,,,,,,,,,,,,
2019,Week 12,17/03/2019," 125,440 ",Y," 30,298 "," 20,937 ",,,,,,,,,,,,,,,,
2019,Week 13,24/03/2019," 136,330 ",Y," 68,805 "," 43,560 ",,,,,,,,,,,,,,,,
2019,Week 14,31/03/2019," 118,784 ",Y," 62,779 "," 22,880 ",,,,,,,,,,,,,,,,
2019,Week 15,07/04/2019," 132,033 ",Y," 83,893 "," 65,750 ",,,,,,,,,,,,,,,,
2019,Week 16,14/04/2019," 133,267 ",Y," 71,677 "," 44,026 ",,,,,,,,,,,,,,,,
2019,Week 17,21/04/2019," 165,777 ",Y," 87,834 "," 45,732 ",,,,,,,,,,,,,,,,
2019,Week 18,28/04/2019," 166,356 ",Y," 88,284 "," 50,538 ",,,,,,,,,,,,,,,,
2019,Week 19,05/05/2019," 171,049 ",Y," 94,980 "," 53,183 ",,,,,,,,,,,,,,,,
2019,Week 20,12/05/2019," 178,534 ",Y," 100,251 "," 52,169 ",,,,,,,,,,,,,,,,
2019,Week 21,19/05/2019," 191,319 ",Y," 179,060 "," 64,922 ",,,,,,,,,,,,,,,,
2019,Week 22,26/05/2019," 240,507 ",Y," 132,357 "," 77,048 ",,,,,,,,,,,,,,,,
2019,Week 23,02/06/2019," 211,380 ",Y," 97,451 "," 81,672 ",,,,,,,,,,,,,,,,
2019,Week 24,09/06/2019," 214,729 ",Y," 94,747 "," 91,417 ",,,,,,,,,,,,,,,,
2019,Week 25,16/06/2019," 202,847 ",Y," 87,304 "," 85,124 ",,,,,,,,,,,,,,,,
2019,Week 26,23/06/2019," 202,445 ",Y," 84,230 "," 88,284 ",,,,,,,,,,,,,,,,
2019,Week 27,30/06/2019," 184,658 ",Y," 68,866 "," 85,466 ",,,,,,,,,,,,,,,,
2019,Week 28,07/07/2019," 185,302 ",Y," 69,626 "," 85,130 ",,,,,,,,,,,,,,,,
2019,Week 29,14/07/2019," 166,125 ",Y," 64,104 "," 76,352 ",,,,,,,,,,,,,,,,
2019,Week 30,21/07/2019," 208,809 ",Y," 85,786 "," 90,580 ",,,,,,,,,,,,,,,,
2019,Week 31,28/07/2019," 197,005 ",Y," 81,182 "," 86,638 ",,,,,,,,,,,,,,,,
2019,Week 32,04/08/2019," 180,605 ",Y," 71,150 "," 76,065 ",,,,,,,,,,,,,,,,
2019,Week 33,11/08/2019," 191,450 ",Y," 90,778 "," 73,885 ",,,,,,,,,,,,,,,,
2019,Week 34,18/08/2019," 168,754 ",Y," 61,826 "," 73,714 ",,,,,,,,,,,,,,,,
