,,Total Mean Annual Household Income estimate,,,,,,,,,,,,,Total Median Annual Household Income estimate,,,,,,,,,,,,,
,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,
Code,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"£65,120","£66,410","£69,800","£74,510","£76,200","£81,300","£83,050","£89,340","£89,680","£93,380","£97,030","£99,390",,"£42,720","£43,620","£45,150","£48,070","£48,380","£51,410","£53,110","£54,960","£57,520","£59,240","£62,290","£63,620",,
E09000002,Barking and Dagenham,"£22,930","£23,200","£24,240","£25,760","£26,260","£27,960","£28,510","£30,650","£30,750","£32,010","£33,260","£34,080",,"£20,120","£20,410","£21,020","£22,300","£22,390","£23,750","£24,520","£25,360","£26,550","£27,360","£28,780","£29,420",,
E09000003,Barnet,"£39,190","£39,470","£41,010","£43,320","£43,890","£46,430","£47,050","£50,240","£50,100","£51,830","£53,540","£54,530",,"£29,480","£29,780","£30,520","£32,200","£32,150","£33,900","£34,790","£35,770","£37,220","£38,120","£39,880","£40,530",,
E09000004,Bexley,"£30,060","£30,420","£31,760","£33,730","£34,370","£36,560","£37,260","£40,020","£40,130","£41,760","£43,380","£44,430",,"£25,490","£25,860","£26,620","£28,220","£28,310","£30,010","£30,950","£31,990","£33,460","£34,440","£36,210","£36,990",,
E09000005,Brent,"£29,430","£29,500","£30,520","£32,120","£32,430","£34,200","£34,560","£36,820","£36,620","£37,810","£38,970","£39,630",,"£24,280","£24,400","£24,900","£26,160","£26,010","£27,340","£27,960","£28,660","£29,730","£30,370","£31,690","£32,140",,
E09000006,Bromley,"£37,110","£37,640","£39,380","£41,880","£42,700","£45,450","£46,340","£49,770","£49,900","£51,900","£53,870","£55,140",,"£29,550","£30,040","£30,980","£32,880","£33,010","£35,000","£36,110","£37,310","£39,020","£40,150","£42,180","£43,060",,
E09000007,Camden,"£47,940","£48,430","£50,470","£53,450","£54,270","£57,520","£58,390","£62,450","£62,330","£64,550","£66,710","£67,990",,"£31,300","£31,710","£32,580","£34,450","£34,460","£36,400","£37,410","£38,510","£40,110","£41,120","£43,030","£43,750",,
E09000008,Croydon,"£31,740","£32,040","£33,380","£35,340","£35,890","£38,040","£38,630","£41,330","£41,280","£42,770","£44,240","£45,120",,"£26,450","£26,780","£27,500","£29,070","£29,080","£30,720","£31,570","£32,510","£33,870","£34,730","£36,370","£37,000",,
E09000009,Ealing,"£34,000","£34,120","£35,340","£37,210","£37,570","£39,620","£40,020","£42,610","£42,360","£43,690","£44,990","£45,690",,"£27,160","£27,350","£27,940","£29,380","£29,240","£30,740","£31,450","£32,230","£33,430","£34,140","£35,600","£36,070",,
E09000010,Enfield,"£30,750","£30,830","£31,900","£33,570","£33,890","£35,730","£36,100","£38,430","£38,210","£39,420","£40,600","£41,250",,"£25,100","£25,240","£25,750","£27,050","£26,900","£28,260","£28,900","£29,610","£30,700","£31,340","£32,680","£33,110",,
E09000011,Greenwich,"£28,290","£28,830","£30,310","£32,390","£33,200","£35,520","£36,390","£39,290","£39,580","£41,370","£43,150","£44,370",,"£22,960","£23,460","£24,310","£25,940","£26,180","£27,910","£28,940","£30,050","£31,580","£32,660","£34,480","£35,350",,
E09000012,Hackney,"£26,320","£26,900","£28,380","£30,430","£31,290","£33,580","£34,520","£37,380","£37,770","£39,580","£41,400","£42,690",,"£22,000","£22,550","£23,460","£25,130","£25,450","£27,230","£28,330","£29,520","£31,120","£32,270","£34,170","£35,140",,
E09000013,Hammersmith and Fulham,"£43,100","£43,670","£45,640","£48,470","£49,350","£52,440","£53,370","£57,220","£57,250","£59,430","£61,580","£62,910",,"£30,550","£31,030","£31,960","£33,890","£33,980","£35,980","£37,060","£38,230","£39,910","£41,000","£43,010","£43,820",,
E09000014,Haringey,"£31,510","£31,870","£33,250","£35,280","£35,890","£38,120","£38,790","£41,600","£41,640","£43,250","£44,850","£45,860",,"£24,780","£25,120","£25,840","£27,370","£27,420","£29,020","£29,890","£30,840","£32,200","£33,100","£34,740","£35,420",,
E09000015,Harrow,"£35,720","£35,900","£37,240","£39,270","£39,730","£41,970","£42,480","£45,330","£45,160","£46,680","£48,190","£49,060",,"£28,630","£28,880","£29,540","£31,130","£31,030","£32,690","£33,500","£34,410","£35,780","£36,620","£38,280","£38,880",,
E09000016,Havering,"£30,610","£30,910","£32,210","£34,140","£34,710","£36,860","£37,510","£40,230","£40,290","£41,860","£43,430","£44,430",,"£25,710","£26,030","£26,740","£28,300","£28,340","£29,990","£30,880","£31,870","£33,290","£34,230","£35,940","£36,670",,
E09000017,Hillingdon,"£32,140","£32,360","£33,630","£35,530","£36,010","£38,110","£38,640","£41,300","£41,200","£42,660","£44,090","£44,950",,"£26,880","£27,150","£27,820","£29,350","£29,310","£30,910","£31,730","£32,630","£33,970","£34,810","£36,430","£37,040",,
E09000018,Hounslow,"£33,000","£33,120","£34,300","£36,120","£36,490","£38,490","£38,890","£41,420","£41,190","£42,500","£43,790","£44,490",,"£26,550","£26,730","£27,310","£28,720","£28,590","£30,060","£30,750","£31,530","£32,720","£33,420","£34,860","£35,330",,
